entity_id,vehicle_id,vehicle_label,trip_id,route_id,route_short_name,route_long_name,direction_id,trip_headsign,latitude,longitude,bearing,speed_mps,current_status,stop_id,stop_name,timestamp_local,feed_header_timestamp_local
vehicle_position_30536,30536,Tramvajs 10,TRAM10-02-1-250810-ba-1410,riga_tram_10,10,Centrāltirgus - Bišumuiža,1.0,Centrāltirgus,56.91457748413086,24.14070701599121,106.0,0.0,2,3185,Bišumuiža,2026-04-01T13:56:15+03:00,2026-04-01T13:56:21+03:00
vehicle_position_30571,30571,Tramvajs 1,TRAM1-03-1-250901-ba-1300,riga_tram_1,1,Imanta - Jugla,1.0,Imanta,56.956546783447266,24.03490447998047,356.0,10.0,2,3050,Bebru iela,2026-04-01T13:56:15+03:00,2026-04-01T13:56:21+03:00
vehicle_position_30645,30645,Tramvajs 10,TRAM10-01-1-250810-ba-1340,riga_tram_10,10,Centrāltirgus - Bišumuiža,1.0,Centrāltirgus,56.91933059692383,24.091938018798828,288.0,2.2200000286102295,2,3192,Vienības gatve/Bērnu slimnīca,2026-04-01T13:56:13+03:00,2026-04-01T13:56:21+03:00
vehicle_position_30743,30743,Tramvajs 5,TRAM5-04-1-260226-ab-1310,,,,,,56.99472427368164,24.126245498657227,52.0,0.0,2,3075,Sarkandaugava,2026-04-01T13:56:13+03:00,2026-04-01T13:56:21+03:00
vehicle_position_30830,30830,Tramvajs 10,TRAM10-03-1-250810-ab-1350,riga_tram_10,10,Centrāltirgus - Bišumuiža,0.0,Bišumuiža,56.9461784362793,24.105308532714844,318.0,0.2800000011920929,2,3013,Nacionālā bibliotēka,2026-04-01T13:56:16+03:00,2026-04-01T13:56:21+03:00
vehicle_position_30917,30917,Tramvajs 5,TRAM5-02-1-260226-ba-1310,,,,,,56.9460334777832,24.07403564453125,340.0,4.170000076293945,2,3046,Mārtiņa iela,2026-04-01T13:51:26+03:00,2026-04-01T13:56:21+03:00
vehicle_position_31751,31751,Tramvajs 8,TRAM8-04-1-260226-ab-1320,,,,,,56.9454345703125,24.106592178344727,318.0,7.21999979019165,2,3012,Grēcinieku iela,2026-04-01T13:56:16+03:00,2026-04-01T13:56:21+03:00
vehicle_position_31836,31836,Tramvajs 5,TRAM5-01-1-260226-ab-1340,,,,,,56.94003677368164,24.090524673461914,114.0,4.440000057220459,2,3007,Uzvaras parks,2026-04-01T13:56:16+03:00,2026-04-01T13:56:21+03:00
vehicle_position_32036,32036,Tramvajs 1,TRAM1-26-1-250901-ab-1350,riga_tram_1,1,Imanta - Jugla,0.0,Jugla,56.95691680908203,24.034713745117188,176.0,6.940000057220459,2,3035,Bebru iela,2026-04-01T13:56:18+03:00,2026-04-01T13:56:21+03:00
vehicle_position_32091,32091,Tramvajs 1,TRAM1-11-1-250901-ba-1340,riga_tram_1,1,Imanta - Jugla,1.0,Imanta,56.9771842956543,24.1717472076416,228.0,8.890000343322754,2,3116,Gustava Zemgala gatve,2026-04-01T13:51:54+03:00,2026-04-01T13:56:21+03:00
vehicle_position_32134,32134,Tramvajs 7,TRAM7-06-1-251208-d3a-1450,riga_tram_7,7,Ausekļa iela - Ķengarags,1.0,Ausekļa iela,56.932613372802734,24.157928466796875,238.0,0.0,2,3158,Latgales parks,2026-04-01T13:56:17+03:00,2026-04-01T13:56:21+03:00
vehicle_position_32178,32178,Tramvajs 7,TRAM7-04-1-251208-d3a-1430,riga_tram_7,7,Ausekļa iela - Ķengarags,1.0,Ausekļa iela,56.932891845703125,24.15827178955078,54.0,0.0,2,3158,Latgales parks,2026-04-01T13:56:16+03:00,2026-04-01T13:56:21+03:00
vehicle_position_35076,35076,Tramvajs 8,TRAM8-01-1-260226-ab-1350,,,,,,57.005332946777344,24.125011444091797,182.0,10.279999732971191,2,3083,Aldaris,2026-04-01T13:56:16+03:00,2026-04-01T13:56:21+03:00
vehicle_position_35239,35239,Tramvajs 7,TRAM7-08-1-251208-ba-1340,riga_tram_7,7,Ausekļa iela - Ķengarags,1.0,Ausekļa iela,56.93986129760742,24.125749588012695,268.0,2.5,2,3163,Jēzusbaznīcas iela,2026-04-01T13:52:53+03:00,2026-04-01T13:56:21+03:00
vehicle_position_35272,35272,Tramvajs 7,TRAM7-03-1-251208-ab-1340,riga_tram_7,7,Ausekļa iela - Ķengarags,0.0,Ķengarags,56.93438720703125,24.158601760864258,144.0,5.28000020980835,2,3175,Rēznas iela,2026-04-01T13:56:17+03:00,2026-04-01T13:56:21+03:00
vehicle_position_35294,35294,Tramvajs 1,TRAM1-16-1-250901-ab-1300,riga_tram_1,1,Imanta - Jugla,0.0,Jugla,56.98874282836914,24.23480796813965,78.0,10.829999923706055,2,3146,Jugla,2026-04-01T13:56:14+03:00,2026-04-01T13:56:21+03:00
vehicle_position_57093,57093,Tramvajs 1,TRAM1-20-1-250901-ab-1320,riga_tram_1,1,Imanta - Jugla,0.0,Jugla,56.958343505859375,24.135595321655273,48.0,8.329999923706055,2,3131,Tallinas iela,2026-04-01T13:56:15+03:00,2026-04-01T13:56:21+03:00
vehicle_position_57125,57125,Tramvajs 11,TRAM11-01-1-251208-ab-1320,riga_tram_11,11,Ausekļa iela - Mežaparks,0.0,Mežaparks,56.978389739990234,24.14609718322754,32.0,9.720000267028809,2,3233,Brāļu kapi,2026-04-01T13:56:16+03:00,2026-04-01T13:56:21+03:00
vehicle_position_57136,57136,Tramvajs 1,TRAM1-07-1-250901-ba-1320,riga_tram_1,1,Imanta - Jugla,1.0,Imanta,56.94240188598633,24.096601486206055,228.0,12.220000267028809,2,3013,Nacionālā bibliotēka,2026-04-01T13:56:17+03:00,2026-04-01T13:56:21+03:00
